2023-03-19 20:21:31 INFO     test: 1p: 22812
2023-03-19 20:21:39 INFO     Test 1p MRR at epoch 100: 0.458707
2023-03-19 20:21:39 INFO     Test 1p HITS1 at epoch 100: 0.356744
2023-03-19 20:21:39 INFO     Test 1p HITS3 at epoch 100: 0.507446
2023-03-19 20:21:39 INFO     Test 1p HITS10 at epoch 100: 0.661790
2023-03-19 20:21:39 INFO     Test 1p num_queries at epoch 100: 22812.000000
2023-03-19 20:21:39 INFO     Test average MRR at epoch 100: 0.458707
2023-03-19 20:21:39 INFO     Test average HITS1 at epoch 100: 0.356744
2023-03-19 20:21:39 INFO     Test average HITS3 at epoch 100: 0.507446
2023-03-19 20:21:39 INFO     Test average HITS10 at epoch 100: 0.661790
2023-03-19 20:21:40 INFO     test: 2p: 5000
2023-03-19 20:21:48 INFO     Test 2p MRR at epoch 100: 0.282892
2023-03-19 20:21:48 INFO     Test 2p HITS1 at epoch 100: 0.203130
2023-03-19 20:21:48 INFO     Test 2p HITS3 at epoch 100: 0.304305
2023-03-19 20:21:48 INFO     Test 2p HITS10 at epoch 100: 0.450468
2023-03-19 20:21:48 INFO     Test 2p num_queries at epoch 100: 5000.000000
2023-03-19 20:21:48 INFO     Test average MRR at epoch 100: 0.282892
2023-03-19 20:21:48 INFO     Test average HITS1 at epoch 100: 0.203130
2023-03-19 20:21:48 INFO     Test average HITS3 at epoch 100: 0.304305
2023-03-19 20:21:48 INFO     Test average HITS10 at epoch 100: 0.450468
2023-03-19 20:21:49 INFO     test: 3p: 5000
2023-03-19 20:21:57 INFO     Test 3p MRR at epoch 100: 0.200534
2023-03-19 20:21:57 INFO     Test 3p HITS1 at epoch 100: 0.140731
2023-03-19 20:21:57 INFO     Test 3p HITS3 at epoch 100: 0.209556
2023-03-19 20:21:57 INFO     Test 3p HITS10 at epoch 100: 0.319825
2023-03-19 20:21:57 INFO     Test 3p num_queries at epoch 100: 5000.000000
2023-03-19 20:21:57 INFO     Test average MRR at epoch 100: 0.200534
2023-03-19 20:21:57 INFO     Test average HITS1 at epoch 100: 0.140731
2023-03-19 20:21:57 INFO     Test average HITS3 at epoch 100: 0.209556
2023-03-19 20:21:57 INFO     Test average HITS10 at epoch 100: 0.319825
2023-03-19 20:21:58 INFO     test: 2i: 5000
2023-03-19 20:22:04 INFO     Test 2i MRR at epoch 100: 0.351833
2023-03-19 20:22:04 INFO     Test 2i HITS1 at epoch 100: 0.244730
2023-03-19 20:22:04 INFO     Test 2i HITS3 at epoch 100: 0.400993
2023-03-19 20:22:04 INFO     Test 2i HITS10 at epoch 100: 0.563831
2023-03-19 20:22:04 INFO     Test 2i num_queries at epoch 100: 5000.000000
2023-03-19 20:22:04 INFO     Test average MRR at epoch 100: 0.351833
2023-03-19 20:22:04 INFO     Test average HITS1 at epoch 100: 0.244730
2023-03-19 20:22:04 INFO     Test average HITS3 at epoch 100: 0.400993
2023-03-19 20:22:04 INFO     Test average HITS10 at epoch 100: 0.563831
2023-03-19 20:22:05 INFO     test: 3i: 5000
2023-03-19 20:22:11 INFO     Test 3i MRR at epoch 100: 0.469258
