2023-03-19 20:20:00 INFO     test: 1p: 22812
2023-03-19 20:20:08 INFO     Test 1p MRR at epoch 100: 0.457744
2023-03-19 20:20:08 INFO     Test 1p HITS1 at epoch 100: 0.356473
2023-03-19 20:20:08 INFO     Test 1p HITS3 at epoch 100: 0.505034
2023-03-19 20:20:08 INFO     Test 1p HITS10 at epoch 100: 0.659956
2023-03-19 20:20:08 INFO     Test 1p num_queries at epoch 100: 22812.000000
2023-03-19 20:20:08 INFO     Test average MRR at epoch 100: 0.457744
2023-03-19 20:20:08 INFO     Test average HITS1 at epoch 100: 0.356473
2023-03-19 20:20:08 INFO     Test average HITS3 at epoch 100: 0.505034
2023-03-19 20:20:08 INFO     Test average HITS10 at epoch 100: 0.659956
2023-03-19 20:20:09 INFO     test: 2p: 5000
2023-03-19 20:20:19 INFO     Test 2p MRR at epoch 100: 0.283569
2023-03-19 20:20:19 INFO     Test 2p HITS1 at epoch 100: 0.206742
2023-03-19 20:20:19 INFO     Test 2p HITS3 at epoch 100: 0.304100
2023-03-19 20:20:19 INFO     Test 2p HITS10 at epoch 100: 0.433654
2023-03-19 20:20:19 INFO     Test 2p num_queries at epoch 100: 5000.000000
2023-03-19 20:20:19 INFO     Test average MRR at epoch 100: 0.283569
2023-03-19 20:20:19 INFO     Test average HITS1 at epoch 100: 0.206742
2023-03-19 20:20:19 INFO     Test average HITS3 at epoch 100: 0.304100
2023-03-19 20:20:19 INFO     Test average HITS10 at epoch 100: 0.433654
2023-03-19 20:20:21 INFO     test: 3p: 5000
2023-03-19 20:20:28 INFO     Test 3p MRR at epoch 100: 0.199661
2023-03-19 20:20:28 INFO     Test 3p HITS1 at epoch 100: 0.138553
2023-03-19 20:20:28 INFO     Test 3p HITS3 at epoch 100: 0.209925
2023-03-19 20:20:28 INFO     Test 3p HITS10 at epoch 100: 0.317064
2023-03-19 20:20:28 INFO     Test 3p num_queries at epoch 100: 5000.000000
2023-03-19 20:20:28 INFO     Test average MRR at epoch 100: 0.199661
2023-03-19 20:20:28 INFO     Test average HITS1 at epoch 100: 0.138553
2023-03-19 20:20:28 INFO     Test average HITS3 at epoch 100: 0.209925
2023-03-19 20:20:28 INFO     Test average HITS10 at epoch 100: 0.317064
2023-03-19 20:20:30 INFO     test: 2i: 5000
2023-03-19 20:20:35 INFO     Test 2i MRR at epoch 100: 0.352328
2023-03-19 20:20:35 INFO     Test 2i HITS1 at epoch 100: 0.244511
2023-03-19 20:20:35 INFO     Test 2i HITS3 at epoch 100: 0.399203
2023-03-19 20:20:35 INFO     Test 2i HITS10 at epoch 100: 0.563827
2023-03-19 20:20:35 INFO     Test 2i num_queries at epoch 100: 5000.000000
2023-03-19 20:20:35 INFO     Test average MRR at epoch 100: 0.352328
2023-03-19 20:20:35 INFO     Test average HITS1 at epoch 100: 0.244511
2023-03-19 20:20:35 INFO     Test average HITS3 at epoch 100: 0.399203
2023-03-19 20:20:35 INFO     Test average HITS10 at epoch 100: 0.563827
2023-03-19 20:20:36 INFO     test: 3i: 5000
2023-03-19 20:20:43 INFO     Test 3i MRR at epoch 100: 0.470457
2023-03-19 20:20:43 INFO     Test 3i HITS1 at epoch 100: 0.369156
2023-03-19 20:20:43 INFO     Test 3i HITS3 at epoch 100: 0.520441
2023-03-19 20:20:43 INFO     Test 3i HITS10 at epoch 100: 0.666399
2023-03-19 20:20:43 INFO     Test 3i num_queries at epoch 100: 5000.000000
2023-03-19 20:20:43 INFO     Test average MRR at epoch 100: 0.470457
2023-03-19 20:20:43 INFO     Test average HITS1 at epoch 100: 0.369156
2023-03-19 20:20:43 INFO     Test average HITS3 at epoch 100: 0.520441
2023-03-19 20:20:43 INFO     Test average HITS10 at epoch 100: 0.666399
2023-03-19 20:20:44 INFO     test: ip: 5000
2023-03-19 20:20:55 INFO     Test ip MRR at epoch 100: 0.191959
