2023-03-19 19:54:04 INFO     test: 1p: 22812
2023-03-19 19:54:12 INFO     Test 1p MRR at epoch 100: 0.458775
2023-03-19 19:54:12 INFO     Test 1p HITS1 at epoch 100: 0.356879
2023-03-19 19:54:12 INFO     Test 1p HITS3 at epoch 100: 0.506637
2023-03-19 19:54:12 INFO     Test 1p HITS10 at epoch 100: 0.662088
2023-03-19 19:54:12 INFO     Test 1p num_queries at epoch 100: 22812.000000
2023-03-19 19:54:12 INFO     Test average MRR at epoch 100: 0.458775
2023-03-19 19:54:12 INFO     Test average HITS1 at epoch 100: 0.356879
2023-03-19 19:54:12 INFO     Test average HITS3 at epoch 100: 0.506637
2023-03-19 19:54:12 INFO     Test average HITS10 at epoch 100: 0.662088
2023-03-19 19:54:14 INFO     test: 2p: 5000
2023-03-19 19:54:21 INFO     Test 2p MRR at epoch 100: 0.283603
2023-03-19 19:54:21 INFO     Test 2p HITS1 at epoch 100: 0.204498
2023-03-19 19:54:21 INFO     Test 2p HITS3 at epoch 100: 0.299721
2023-03-19 19:54:21 INFO     Test 2p HITS10 at epoch 100: 0.450462
2023-03-19 19:54:21 INFO     Test 2p num_queries at epoch 100: 5000.000000
2023-03-19 19:54:21 INFO     Test average MRR at epoch 100: 0.283603
2023-03-19 19:54:21 INFO     Test average HITS1 at epoch 100: 0.204498
2023-03-19 19:54:21 INFO     Test average HITS3 at epoch 100: 0.299721
2023-03-19 19:54:21 INFO     Test average HITS10 at epoch 100: 0.450462
2023-03-19 19:54:23 INFO     test: 3p: 5000
2023-03-19 19:54:31 INFO     Test 3p MRR at epoch 100: 0.198816
2023-03-19 19:54:31 INFO     Test 3p HITS1 at epoch 100: 0.138167
2023-03-19 19:54:31 INFO     Test 3p HITS3 at epoch 100: 0.204078
2023-03-19 19:54:31 INFO     Test 3p HITS10 at epoch 100: 0.325012
2023-03-19 19:54:31 INFO     Test 3p num_queries at epoch 100: 5000.000000
2023-03-19 19:54:31 INFO     Test average MRR at epoch 100: 0.198816
2023-03-19 19:54:31 INFO     Test average HITS1 at epoch 100: 0.138167
2023-03-19 19:54:31 INFO     Test average HITS3 at epoch 100: 0.204078
2023-03-19 19:54:31 INFO     Test average HITS10 at epoch 100: 0.325012
2023-03-19 19:54:32 INFO     test: 2i: 5000
2023-03-19 19:54:37 INFO     Test 2i MRR at epoch 100: 0.352055
2023-03-19 19:54:37 INFO     Test 2i HITS1 at epoch 100: 0.244531
2023-03-19 19:54:37 INFO     Test 2i HITS3 at epoch 100: 0.400588
2023-03-19 19:54:37 INFO     Test 2i HITS10 at epoch 100: 0.561297
2023-03-19 19:54:37 INFO     Test 2i num_queries at epoch 100: 5000.000000
2023-03-19 19:54:37 INFO     Test average MRR at epoch 100: 0.352055
2023-03-19 19:54:37 INFO     Test average HITS1 at epoch 100: 0.244531
2023-03-19 19:54:37 INFO     Test average HITS3 at epoch 100: 0.400588
2023-03-19 19:54:37 INFO     Test average HITS10 at epoch 100: 0.561297
2023-03-19 19:54:39 INFO     test: 3i: 5000
2023-03-19 19:54:45 INFO     Test 3i MRR at epoch 100: 0.470484
2023-03-19 19:54:45 INFO     Test 3i HITS1 at epoch 100: 0.368444
2023-03-19 19:54:45 INFO     Test 3i HITS3 at epoch 100: 0.522055
2023-03-19 19:54:45 INFO     Test 3i HITS10 at epoch 100: 0.666563
2023-03-19 19:54:45 INFO     Test 3i num_queries at epoch 100: 5000.000000
2023-03-19 19:54:45 INFO     Test average MRR at epoch 100: 0.470484
2023-03-19 19:54:45 INFO     Test average HITS1 at epoch 100: 0.368444
2023-03-19 19:54:45 INFO     Test average HITS3 at epoch 100: 0.522055
