2023-03-19 19:52:35 INFO     test: 1p: 22812
2023-03-19 19:52:43 INFO     Test 1p MRR at epoch 100: 0.458089
2023-03-19 19:52:43 INFO     Test 1p HITS1 at epoch 100: 0.357155
2023-03-19 19:52:43 INFO     Test 1p HITS3 at epoch 100: 0.504550
2023-03-19 19:52:43 INFO     Test 1p HITS10 at epoch 100: 0.661909
2023-03-19 19:52:43 INFO     Test 1p num_queries at epoch 100: 22812.000000
2023-03-19 19:52:43 INFO     Test average MRR at epoch 100: 0.458089
2023-03-19 19:52:43 INFO     Test average HITS1 at epoch 100: 0.357155
2023-03-19 19:52:43 INFO     Test average HITS3 at epoch 100: 0.504550
2023-03-19 19:52:43 INFO     Test average HITS10 at epoch 100: 0.661909
2023-03-19 19:52:45 INFO     test: 2p: 5000
2023-03-19 19:52:52 INFO     Test 2p MRR at epoch 100: 0.280724
2023-03-19 19:52:52 INFO     Test 2p HITS1 at epoch 100: 0.203141
2023-03-19 19:52:52 INFO     Test 2p HITS3 at epoch 100: 0.298674
2023-03-19 19:52:52 INFO     Test 2p HITS10 at epoch 100: 0.436835
2023-03-19 19:52:52 INFO     Test 2p num_queries at epoch 100: 5000.000000
2023-03-19 19:52:52 INFO     Test average MRR at epoch 100: 0.280724
2023-03-19 19:52:52 INFO     Test average HITS1 at epoch 100: 0.203141
2023-03-19 19:52:52 INFO     Test average HITS3 at epoch 100: 0.298674
2023-03-19 19:52:52 INFO     Test average HITS10 at epoch 100: 0.436835
2023-03-19 19:52:54 INFO     test: 3p: 5000
2023-03-19 19:53:01 INFO     Test 3p MRR at epoch 100: 0.201343
2023-03-19 19:53:01 INFO     Test 3p HITS1 at epoch 100: 0.141711
2023-03-19 19:53:01 INFO     Test 3p HITS3 at epoch 100: 0.211944
2023-03-19 19:53:01 INFO     Test 3p HITS10 at epoch 100: 0.322166
2023-03-19 19:53:01 INFO     Test 3p num_queries at epoch 100: 5000.000000
2023-03-19 19:53:01 INFO     Test average MRR at epoch 100: 0.201343
2023-03-19 19:53:01 INFO     Test average HITS1 at epoch 100: 0.141711
2023-03-19 19:53:01 INFO     Test average HITS3 at epoch 100: 0.211944
2023-03-19 19:53:01 INFO     Test average HITS10 at epoch 100: 0.322166
2023-03-19 19:53:03 INFO     test: 2i: 5000
2023-03-19 19:53:08 INFO     Test 2i MRR at epoch 100: 0.347333
2023-03-19 19:53:08 INFO     Test 2i HITS1 at epoch 100: 0.242322
2023-03-19 19:53:08 INFO     Test 2i HITS3 at epoch 100: 0.391078
2023-03-19 19:53:08 INFO     Test 2i HITS10 at epoch 100: 0.559477
2023-03-19 19:53:08 INFO     Test 2i num_queries at epoch 100: 5000.000000
2023-03-19 19:53:08 INFO     Test average MRR at epoch 100: 0.347333
2023-03-19 19:53:08 INFO     Test average HITS1 at epoch 100: 0.242322
2023-03-19 19:53:08 INFO     Test average HITS3 at epoch 100: 0.391078
2023-03-19 19:53:08 INFO     Test average HITS10 at epoch 100: 0.559477
2023-03-19 19:53:10 INFO     test: 3i: 5000
2023-03-19 19:53:16 INFO     Test 3i MRR at epoch 100: 0.467686
2023-03-19 19:53:16 INFO     Test 3i HITS1 at epoch 100: 0.366026
2023-03-19 19:53:16 INFO     Test 3i HITS3 at epoch 100: 0.519348
2023-03-19 19:53:16 INFO     Test 3i HITS10 at epoch 100: 0.662525
2023-03-19 19:53:16 INFO     Test 3i num_queries at epoch 100: 5000.000000
2023-03-19 19:53:16 INFO     Test average MRR at epoch 100: 0.467686
2023-03-19 19:53:16 INFO     Test average HITS1 at epoch 100: 0.366026
2023-03-19 19:53:16 INFO     Test average HITS3 at epoch 100: 0.519348
2023-03-19 19:53:16 INFO     Test average HITS10 at epoch 100: 0.662525
2023-03-19 19:53:17 INFO     test: ip: 5000
2023-03-19 19:53:28 INFO     Test ip MRR at epoch 100: 0.189943
2023-03-19 19:53:28 INFO     Test ip HITS1 at epoch 100: 0.125557
2023-03-19 19:53:28 INFO     Test ip HITS3 at epoch 100: 0.200697
2023-03-19 19:53:28 INFO     Test ip HITS10 at epoch 100: 0.312615
2023-03-19 19:53:28 INFO     Test ip num_queries at epoch 100: 5000.000000
2023-03-19 19:53:28 INFO     Test average MRR at epoch 100: 0.189943
2023-03-19 19:53:28 INFO     Test average HITS1 at epoch 100: 0.125557
2023-03-19 19:53:28 INFO     Test average HITS3 at epoch 100: 0.200697
2023-03-19 19:53:28 INFO     Test average HITS10 at epoch 100: 0.312615
2023-03-19 19:53:30 INFO     test: pi: 5000
2023-03-19 19:53:40 INFO     Test pi MRR at epoch 100: 0.272092
2023-03-19 19:53:40 INFO     Test pi HITS1 at epoch 100: 0.189368
2023-03-19 19:53:40 INFO     Test pi HITS3 at epoch 100: 0.300005
2023-03-19 19:53:40 INFO     Test pi HITS10 at epoch 100: 0.433955
2023-03-19 19:53:40 INFO     Test pi num_queries at epoch 100: 5000.000000
2023-03-19 19:53:40 INFO     Test average MRR at epoch 100: 0.272092
2023-03-19 19:53:40 INFO     Test average HITS1 at epoch 100: 0.189368
2023-03-19 19:53:40 INFO     Test average HITS3 at epoch 100: 0.300005
2023-03-19 19:53:40 INFO     Test average HITS10 at epoch 100: 0.433955
2023-03-19 19:53:42 INFO     test: 2u: 5000
2023-03-19 19:53:47 INFO     Test 2u MRR at epoch 100: 0.265923
2023-03-19 19:53:47 INFO     Test 2u HITS1 at epoch 100: 0.166635
2023-03-19 19:53:47 INFO     Test 2u HITS3 at epoch 100: 0.295044
2023-03-19 19:53:47 INFO     Test 2u HITS10 at epoch 100: 0.483083
2023-03-19 19:53:47 INFO     Test 2u num_queries at epoch 100: 5000.000000
2023-03-19 19:53:47 INFO     Test average MRR at epoch 100: 0.265923
2023-03-19 19:53:47 INFO     Test average HITS1 at epoch 100: 0.166635
2023-03-19 19:53:47 INFO     Test average HITS3 at epoch 100: 0.295044
2023-03-19 19:53:47 INFO     Test average HITS10 at epoch 100: 0.483083
2023-03-19 19:53:49 INFO     test: up: 5000
2023-03-19 19:53:59 INFO     Test up MRR at epoch 100: 0.212281
2023-03-19 19:53:59 INFO     Test up HITS1 at epoch 100: 0.134540
2023-03-19 19:53:59 INFO     Test up HITS3 at epoch 100: 0.225452
2023-03-19 19:53:59 INFO     Test up HITS10 at epoch 100: 0.371965
2023-03-19 19:53:59 INFO     Test up num_queries at epoch 100: 5000.000000
2023-03-19 19:53:59 INFO     Test average MRR at epoch 100: 0.212281
2023-03-19 19:53:59 INFO     Test average HITS1 at epoch 100: 0.134540
2023-03-19 19:53:59 INFO     Test average HITS3 at epoch 100: 0.225452
2023-03-19 19:53:59 INFO     Test average HITS10 at epoch 100: 0.371965
