2023-04-07 13:32:58 INFO     test: 1ap: 3000
2023-04-07 13:32:59 INFO     Test 1ap MAE at epoch 100: 0.050005
2023-04-07 13:32:59 INFO     Test 1ap MSE at epoch 100: 0.010781
2023-04-07 13:32:59 INFO     Test 1ap RMSE at epoch 100: 0.103832
2023-04-07 13:32:59 INFO     Test 1ap num_queries at epoch 100: 3000.000000
2023-04-07 13:32:59 INFO     Test average MAE at epoch 100: 0.050005
2023-04-07 13:32:59 INFO     Test average MSE at epoch 100: 0.010781
2023-04-07 13:32:59 INFO     Test average RMSE at epoch 100: 0.103832
2023-04-07 13:33:00 INFO     test: 2ap: 100
2023-04-07 13:33:01 INFO     Test 2ap MAE at epoch 100: 0.033859
2023-04-07 13:33:01 INFO     Test 2ap MSE at epoch 100: 0.004531
2023-04-07 13:33:01 INFO     Test 2ap RMSE at epoch 100: 0.067311
2023-04-07 13:33:01 INFO     Test 2ap num_queries at epoch 100: 100.000000
2023-04-07 13:33:01 INFO     Test average MAE at epoch 100: 0.033859
2023-04-07 13:33:01 INFO     Test average MSE at epoch 100: 0.004531
2023-04-07 13:33:01 INFO     Test average RMSE at epoch 100: 0.067311
2023-04-07 13:33:03 INFO     test: 3ap: 100
2023-04-07 13:33:05 INFO     Test 3ap MAE at epoch 100: 0.041317
2023-04-07 13:33:05 INFO     Test 3ap MSE at epoch 100: 0.006783
2023-04-07 13:33:05 INFO     Test 3ap RMSE at epoch 100: 0.082361
2023-04-07 13:33:05 INFO     Test 3ap num_queries at epoch 100: 100.000000
2023-04-07 13:33:05 INFO     Test average MAE at epoch 100: 0.041317
2023-04-07 13:33:05 INFO     Test average MSE at epoch 100: 0.006783
2023-04-07 13:33:05 INFO     Test average RMSE at epoch 100: 0.082361
2023-04-07 13:33:07 INFO     test: ai-lt: 66
2023-04-07 13:33:09 INFO     Test ai-lt MRR at epoch 100: 0.268504
2023-04-07 13:33:09 INFO     Test ai-lt HITS1 at epoch 100: 0.206347
2023-04-07 13:33:09 INFO     Test ai-lt HITS3 at epoch 100: 0.281801
2023-04-07 13:33:09 INFO     Test ai-lt HITS10 at epoch 100: 0.391435
2023-04-07 13:33:09 INFO     Test ai-lt num_queries at epoch 100: 66.000000
2023-04-07 13:33:09 INFO     Test average MRR at epoch 100: 0.268504
2023-04-07 13:33:09 INFO     Test average HITS1 at epoch 100: 0.206347
2023-04-07 13:33:09 INFO     Test average HITS3 at epoch 100: 0.281801
2023-04-07 13:33:09 INFO     Test average HITS10 at epoch 100: 0.391435
2023-04-07 13:33:11 INFO     test: ai-eq: 100
2023-04-07 13:33:14 INFO     Test ai-eq MRR at epoch 100: 0.192510
2023-04-07 13:33:14 INFO     Test ai-eq HITS1 at epoch 100: 0.105308
2023-04-07 13:33:14 INFO     Test ai-eq HITS3 at epoch 100: 0.225442
2023-04-07 13:33:14 INFO     Test ai-eq HITS10 at epoch 100: 0.358746
2023-04-07 13:33:14 INFO     Test ai-eq num_queries at epoch 100: 100.000000
2023-04-07 13:33:14 INFO     Test average MRR at epoch 100: 0.192510
2023-04-07 13:33:14 INFO     Test average HITS1 at epoch 100: 0.105308
2023-04-07 13:33:14 INFO     Test average HITS3 at epoch 100: 0.225442
2023-04-07 13:33:14 INFO     Test average HITS10 at epoch 100: 0.358746
2023-04-07 13:33:17 INFO     test: ai-gt: 64
2023-04-07 13:33:19 INFO     Test ai-gt MRR at epoch 100: 0.173958
2023-04-07 13:33:19 INFO     Test ai-gt HITS1 at epoch 100: 0.104407
2023-04-07 13:33:19 INFO     Test ai-gt HITS3 at epoch 100: 0.197744
2023-04-07 13:33:19 INFO     Test ai-gt HITS10 at epoch 100: 0.329690
2023-04-07 13:33:19 INFO     Test ai-gt num_queries at epoch 100: 64.000000
2023-04-07 13:33:19 INFO     Test average MRR at epoch 100: 0.173958
2023-04-07 13:33:19 INFO     Test average HITS1 at epoch 100: 0.104407
2023-04-07 13:33:19 INFO     Test average HITS3 at epoch 100: 0.197744
2023-04-07 13:33:19 INFO     Test average HITS10 at epoch 100: 0.329690
2023-04-07 13:33:21 INFO     test: 2ai: 100
2023-04-07 13:33:27 INFO     Test 2ai MRR at epoch 100: 0.207777
2023-04-07 13:33:27 INFO     Test 2ai HITS1 at epoch 100: 0.154591
2023-04-07 13:33:27 INFO     Test 2ai HITS3 at epoch 100: 0.217030
